lambda,gamma,alpha,episodes,average_reward
0.3,0.3,0.1,"[1, 2, 3, 4, 5, 6]","[np.float64(-2.33), np.float64(12.34), np.float64(19.79), np.float64(24.74), np.float64(25.94), np.float64(26.52)]"
0.3,0.7,0.1,"[1, 2, 3, 4, 5, 6]","[np.float64(-7.99), np.float64(5.66), np.float64(11.08), np.float64(7.33), np.float64(7.12), np.float64(8.96)]"
0.3,1,0.1,"[1, 2, 3, 4, 5, 6]","[np.float64(-5.66), np.float64(-13.14), np.float64(-6.61), np.float64(3.06), np.float64(-3.74), np.float64(-5.18)]"
0.3,0.3,0.2,"[1, 2, 3, 4, 5, 6]","[np.float64(12.16), np.float64(36.66), np.float64(42.1), np.float64(44.12), np.float64(43.76), np.float64(45.64)]"
0.3,0.7,0.2,"[1, 2, 3, 4, 5, 6]","[np.float64(8.66), np.float64(17.92), np.float64(17.69), np.float64(15.24), np.float64(15.24), np.float64(19.59)]"
0.3,1,0.2,"[1, 2, 3, 4, 5, 6]","[np.float64(-7.6), np.float64(-8.42), np.float64(-6.21), np.float64(-1.36), np.float64(-13.1), np.float64(-12.9)]"
0.3,0.3,3,"[1, 2, 3, 4, 5, 6]","[np.float64(-39.35), np.float64(-39.28), np.float64(-38.14), np.float64(-39.86), np.float64(-37.45), np.float64(-40.07)]"
0.3,0.7,3,"[1, 2, 3, 4, 5, 6]","[np.float64(-37.04), np.float64(-40.28), np.float64(-40.36), np.float64(-40.11), np.float64(-40.48), np.float64(-40.44)]"
0.3,1,3,"[1, 2, 3, 4, 5, 6]","[np.float64(-40.06), np.float64(-40.0), np.float64(-40.04), np.float64(-40.01), np.float64(-40.07), np.float64(-40.43)]"
0.7,0.3,0.1,"[1, 2, 3, 4, 5, 6]","[np.float64(-0.83), np.float64(25.27), np.float64(28.32), np.float64(33.8), np.float64(31.78), np.float64(33.26)]"
0.7,0.7,0.1,"[1, 2, 3, 4, 5, 6]","[np.float64(3.57), np.float64(14.19), np.float64(10.62), np.float64(11.29), np.float64(12.96), np.float64(17.12)]"
0.7,1,0.1,"[1, 2, 3, 4, 5, 6]","[np.float64(-6.87), np.float64(-2.67), np.float64(-11.45), np.float64(-3.24), np.float64(-8.06), np.float64(-21.83)]"
0.7,0.3,0.2,"[1, 2, 3, 4, 5, 6]","[np.float64(30.38), np.float64(53.1), np.float64(56.26), np.float64(61.92), np.float64(54.58), np.float64(55.28)]"
0.7,0.7,0.2,"[1, 2, 3, 4, 5, 6]","[np.float64(12.94), np.float64(22.26), np.float64(18.26), np.float64(19.19), np.float64(20.28), np.float64(23.96)]"
0.7,1,0.2,"[1, 2, 3, 4, 5, 6]","[np.float64(-15.54), np.float64(-14.42), np.float64(-15.34), np.float64(-16.27), np.float64(-11.41), np.float64(-17.68)]"
0.7,0.3,3,"[1, 2, 3, 4, 5, 6]","[np.float64(-36.78), np.float64(-40.79), np.float64(-39.2), np.float64(-38.29), np.float64(-39.09), np.float64(-40.57)]"
0.7,0.7,3,"[1, 2, 3, 4, 5, 6]","[np.float64(-38.54), np.float64(-36.56), np.float64(-35.34), np.float64(-38.89), np.float64(-40.08), np.float64(-40.51)]"
0.7,1,3,"[1, 2, 3, 4, 5, 6]","[np.float64(-40.0), np.float64(-40.01), np.float64(-40.0), np.float64(-40.03), np.float64(-40.25), np.float64(-40.42)]"
1,0.3,0.1,"[1, 2, 3, 4, 5, 6]","[np.float64(4.71), np.float64(31.34), np.float64(39.83), np.float64(38.75), np.float64(45.66), np.float64(42.68)]"
1,0.7,0.1,"[1, 2, 3, 4, 5, 6]","[np.float64(11.33), np.float64(19.38), np.float64(22.01), np.float64(19.42), np.float64(16.31), np.float64(16.88)]"
1,1,0.1,"[1, 2, 3, 4, 5, 6]","[np.float64(-34.43), np.float64(-40.44), np.float64(-40.13), np.float64(-40.26), np.float64(-40.37), np.float64(-40.0)]"
1,0.3,0.2,"[1, 2, 3, 4, 5, 6]","[np.float64(27.93), np.float64(49.74), np.float64(58.53), np.float64(59.27), np.float64(-12.14), np.float64(-40.0)]"
1,0.7,0.2,"[1, 2, 3, 4, 5, 6]","[np.float64(16.74), np.float64(18.74), np.float64(26.22), np.float64(25.63), np.float64(20.06), np.float64(25.85)]"
1,1,0.2,"[1, 2, 3, 4, 5, 6]","[np.float64(-39.17), np.float64(-40.36), np.float64(-40.27), np.float64(-40.06), np.float64(-40.49), np.float64(-40.0)]"
1,0.3,3,"[1, 2, 3, 4, 5, 6]","[np.float64(-40.73), np.float64(-37.96), np.float64(-40.76), np.float64(-37.8), np.float64(-38.57), np.float64(-40.01)]"
1,0.7,3,"[1, 2, 3, 4, 5, 6]","[np.float64(-40.53), np.float64(-40.29), np.float64(-40.0), np.float64(-40.16), np.float64(-40.3), np.float64(-40.08)]"
1,1,3,"[1, 2, 3, 4, 5, 6]","[np.float64(-40.05), np.float64(-40.0), np.float64(-40.14), np.float64(-40.0), np.float64(-40.03), np.float64(-40.31)]"
